"","EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection"
"137","LM0348","P4aMRT","P4",33.09,44.4,74.527027027027,0.35,7,"primary"
"138","LM0348","P4aMTY","P4",44.4,44.4,100,NA,0,"primary"
"139","LM0358","P4aNDF","P4",45.99,49.5,92.9090909090909,1.4,4,"primary"
"140","LM0356","P4aNDH","P4",37.51,40.7,92.1621621621621,2.17,11,"primary"
"141","LM0366","P4aNGR","P4",46.39,48.1,96.4449064449064,1.81,4,"primary"
"142","LM0349","P4aNGT","P4",48.13,50.5,95.3069306930693,2.67,3,"primary"
"143","LM0358","P4aNJI","P4",46.28,49.5,93.4949494949495,1.06,2,"primary"
"144","LM0355","P4aNJL","P4",44.58,43.9,101.548974943052,2.08,9,"primary"
"145","LM0367","P4aNLQ","P4",49.6,49.6,100,NA,0,"primary"
"146","LM0364","P4aNOU","P4",44.04,41.6,105.865384615385,2.67,8,"primary"
"147","LM0358","P4aNRK","P4",49.5,49.5,100,NA,0,"primary"
